#,Source,Text
JUNA,website,"Our Juna Academy manifesto. An authentic, exploratory, and integrative approach."
JUNA,website,"A safe and innovative space for humans to allow themselves to explore their true personal and professional power: Through somatic and intuitive movement, combining yoga and the exploration of movement in all its forms and seasons. Through our training on social leadership and conscious entrepreneurship. Through simply listening to one's nature and unique needs, our team supports your expansion. Our academy offers a collection of certified programs and training to deploy your full power in the form of an educational and transformative matrix."
JUNA,website,"About Nadia and Zoe, accompanied by a team of professionals depending on the programs, getaways, and intentions that have joined their paths, passions, friendship, training, and vision to create much more than a space but an academy they call: AUTHENTIC. At JUNA, we live by the seasons, draw inspiration from nature, and create from the heart to offer an exponential, transformative, and progressive matrix of evolution. Two women with academic backgrounds, two women who live movement and are in motion, two women who create experiences on and off the mat with simplicity. Our academy is a catalyst for full power, while remembering that we only facilitate and strengthen what is already there. With joy, Nad&Zo."
JUNA,website,Did you know that JUNA Academy has an 82% rating with Les Pages Vertes for our travel and getaway packages!
JUNA,website,Teacher Training: 200h Yoga Teaching
JUNA,website,Yoga school recognized internationally and certified with Yoga Alliance for 14 years.
JUNA,website,15-30 people per cohort to provide continuous support
JUNA,website,2 options offered: in-person or 100% online
JUNA,website,A transformation and learning experience over 200+ hours.
JUNA,website,"Do you aspire to a more fulfilling life, rich in experiences and meaning? Does the yoga teacher's path intrigue you? Imagine broadening your horizons while improving your daily well-being, according to the stages of your life, in a setting that nourishes both your mind and your body."
JUNA,website,"If this resonates with you, our training is your next step. Join us and let the surrounding nature inspire you at every moment, while transforming your life in a profound and authentic way."
JUNA,website,"An accessible training, open to all humans."
JUNA,website,Simply select the seasonal cohort you wish to join and your learning mode (either in person or online at your own pace)
JUNA,website,"With JUNA Academy, discover a refuge of tranquility, where nature in perpetual motion shapes our contemporary approach to yoga. Adopt a yogic lifestyle that transcends the mat, finding strategies aligned with your rhythms, cycles, and needs through the practice of yoga."
JUNA,website,In-person formula
JUNA,website,"Alternating between in-person modules and online weekends to guarantee a presence by your side every month, with support both in the heart of nature and in the comfort of your home."
JUNA,website,"An immersive formula of more than 18 days of training spread over 4 months. A space, time, and support that go far beyond a simple training: it is a life transformation, an inner journey that will accompany you forever. A unique learning setting at Domaine Saint-Bernard, in the heart of the lush nature of Mont-Tremblant. Enjoy exclusive access to the Domaine's trails: walking, snowshoeing, cross-country skiing, as well as a small cafeteria for a complete experience."
JUNA,website,"Please note that it includes 2 in-person modules and 1 online weekend. We suggest participating live during the online weekends, but if you are not available, you can listen to them later as recordings."
JUNA,website,"Module 1: From March 20 to 27, 2026, Domaine Saint-Bernard, Mont-Tremblant (in person)"
JUNA,website,"Module 2: From April 17 to 19, 2026, on Zoom (comfort of your home)"
JUNA,website,"Module 3: June 12 to 19, 2026, Domaine Saint-Bernard, Mont-Tremblant (in person + practical exam in person)"
JUNA,website,"A connected and flexible experience. Monthly live coaching to support you throughout your journey. In-person modules accessible live, so that you can follow along wherever you are. Online modules available in replay and accessible at your own pace. All content is available on our platform for smooth and unlimited learning. An active and caring community via our WhatsApp group, where we share, exchange, and evolve together. Access to exclusive offers and prices to continue your journey with us after the training."
JUNA,website,"NEW! We are now adapting your path: start your training with this cohort and, if you wish, finish it by joining the following cohort. Take your time, adjust your pace, live your YOGA without pressure for results. Regardless of the cohort, you are joining the large JUNA family, a caring space where learning happens over time and with respect for your evolution."
JUNA,website,Bonus support without additional fees:
JUNA,website,Group coaching and integration module throughout the training according to the needs of the group and individuals.
JUNA,website,Need accommodation?
JUNA,website,We have gathered all the necessary information on places to stay below.
JUNA,website,"100% online formula, at your own pace!"
JUNA,website,"Our live classes are given during the day, from 8:30 AM to 4:30 PM, with some mornings earlier to activate the morning flow!"
JUNA,website,This unique formula at JUNA was designed to meet needs beyond borders and adapt to everyone's rhythm.
JUNA,website,"No fixed pre-recorded content: you benefit from teachings directly from our cohort's live classes, recorded and made available so you can progress at your own pace, with an authentic and lively transmission"
JUNA,website,"A rich and interactive online program: Access to recorded live teachings to follow the training at your own pace while enjoying updated and lively content. Full integration into the group: you can participate in monthly coaching and online weekends to experience live energy and be fully part of the JUNA dynamics. A recording of all our live exchanges, so you can rewatch them and progress at your own pace."
JUNA,website,"The impact of learning from home. This formula allows you to integrate yoga learning into your daily life, creating a transformation space in your own image. No commuting, no constraints: just you, your pace, and deep immersion in the practice, with the guidance of your teachers and the support of the group."
JUNA,website,"A 100% connected online training. We have built a training that evolves through live teachings, following Yoga Alliance guidelines. Part of the program remains mandatory live, during the common weekends of our online hybrid formula."
JUNA,website,"Access to content for 18 months. Monthly personalized coaching support. A team of teachers ready to guide you with power and kindness. A diploma recognized by Yoga Alliance for 14 years, which opens the doors to teaching anywhere in the world."
